@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ DQMIN %le 2.67024466748e-05
@ DQMINE %le 0.0624764957274
@ FILES %s ""
*            NAME                 S              DETC             DETCE             GAMMA            GAMMAE               C11               C12               C21               C22
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le
     BPMYB.5L2.B1            28.288   0.0313414433294               0.0     1.01604897115               0.0    0.178680213754  0.00458287640315 -0.00458287640315   -0.178680213754
     BPMYB.4L2.B1            48.858   0.0197675109532               0.0     1.01003274474               0.0    0.127305636158  -0.0151677671846   0.0151677671846   -0.127305636158
     BPMWI.4L2.B1           73.3255   0.0723628890388               0.0     1.03827152306               0.0    0.297308204262    0.170059067389   -0.170059067389   -0.297308204262
     BPMSX.4L2.B1          123.4825   0.0545953407533               0.0     1.02846882256               0.0    0.211122143331    -0.20755517915     0.20755517915   -0.211122143331
      BPMS.2L2.B1           161.394 -0.00815308952943                -1    0.995948214398                -1    0.228402769791    0.786021795074   -0.786021795074   -0.228402769791
     BPMSW.1L2.B1           171.328   0.0484308378814               0.0     1.02513207066               0.0    0.295308567407   0.0868099434043  -0.0868099434043   -0.295308567407
     BPMSW.1R2.B1           214.518   0.0535339792997               0.0     1.02789200135               0.0    0.208228829692    0.300288808836   -0.300288808836   -0.208228829692
      BPMS.2R2.B1           224.452   0.0452734724567               0.0     1.02343556547               0.0    0.133586428873   0.0452276341103  -0.0452276341103   -0.133586428873
     BPMSX.4R2.B1          262.3635   0.0122954516984               0.0     1.00620500484               0.0    0.204698130361  -0.0205796503849   0.0205796503849   -0.204698130361
     BPMWB.4R2.B1          312.5965    0.051839151055               0.0       1.026972917               0.0    0.238180375851   0.0985888172752  -0.0985888172752   -0.238180375851
     BPMYB.4R2.B1           336.988   0.0731609629702               0.0     1.03871843947               0.0    0.248896862308   0.0628799605938  -0.0628799605938   -0.248896862308
      BPMR.5R2.B1           366.522   0.0366621987626               0.0     1.01885105352               0.0    0.253482207875    0.037413609809   -0.037413609809   -0.253482207875
       BPM.6R2.B1           439.818    0.116083560324               0.0     1.06363934611               0.0    0.444497272949   -0.351080792037    0.351080792037   -0.444497272949
     BPM_A.7R2.B1           452.693   0.0303946749177               0.0      1.0155527909               0.0   0.0950777734601  -0.0853370154492   0.0853370154492  -0.0950777734601
       BPM.8R2.B1       494.1300106   0.0397279465136               0.0     1.02047614052               0.0    0.185784772797   -0.070721112403    0.070721112403   -0.185784772797
       BPM.9R2.B1       533.1950212   0.0364744096562               0.0     1.01875176272               0.0     0.26579942337  -0.0598884494363   0.0598884494363    -0.26579942337
      BPM.10R2.B1       573.6580318   0.0357294038854               0.0     1.01835813743               0.0    0.170914168142  -0.0378225610488   0.0378225610488   -0.170914168142
      BPM.11R2.B1       625.4967424   0.0442551607601               0.0      1.0228902033               0.0    0.172860695355  -0.0658792465845   0.0658792465845   -0.172860695355
      BPM.12R2.B1       680.2202583    0.038849041581               0.0     1.02000945699               0.0    0.233805283825   0.0132883378663  -0.0132883378663   -0.233805283825
      BPM.13R2.B1       733.6687742   0.0371081642293               0.0     1.01908696776               0.0    0.237714769446   -0.111401788933    0.111401788933   -0.237714769446
      BPM.14R2.B1       787.1172901   0.0371981424977               0.0     1.01913458583               0.0     0.17840331041   -0.106806704533    0.106806704533    -0.17840331041
      BPM.15R2.B1        840.565806   0.0366317061945               0.0     1.01883492904               0.0    0.147984110759  -0.0398292089252   0.0398292089252   -0.147984110759
      BPM.16R2.B1       894.0143219    0.043135977673               0.0     1.02229182342               0.0    0.223675682521 -0.000199947161561 0.000199947161561   -0.223675682521
      BPM.17R2.B1       947.4628378   0.0360347867852               0.0     1.01851943191               0.0    0.256311945243   -0.087541087177    0.087541087177   -0.256311945243
      BPM.18R2.B1       1000.911354    0.039599017405               0.0     1.02040764127               0.0    0.196997400783  -0.0695453027159   0.0695453027159   -0.196997400783
      BPM.19R2.B1        1054.35987   0.0418844647696               0.0     1.02162393451               0.0    0.158705910644  -0.0248053769871   0.0248053769871   -0.158705910644
      BPM.20R2.B1       1107.808386   0.0417983833384               0.0     1.02157804395               0.0    0.224646333309   0.0279630637092  -0.0279630637092   -0.224646333309
      BPM.21R2.B1       1161.256901   0.0494411341929               0.0       1.025676704               0.0    0.288462792067  -0.0733180846681   0.0733180846681   -0.288462792067
      BPM.22R2.B1       1214.705417   0.0320356811275               0.0     1.01641326824               0.0    0.161770427822  -0.0538041852182   0.0538041852182   -0.161770427822
      BPM.23R2.B1       1268.153933   0.0416679524199               0.0     1.02150852217               0.0    0.165704984587  -0.0808635099309   0.0808635099309   -0.165704984587
      BPM.24R2.B1       1321.602449   0.0249079530922               0.0     1.01269156558               0.0    0.165022930929    0.108715795004   -0.108715795004   -0.165022930929
      BPM.25R2.B1       1375.050965   0.0581985511332               0.0     1.03043433867               0.0    0.294621322491  0.00599267253868 -0.00599267253868   -0.294621322491
      BPM.26R2.B1       1428.499481   0.0409311815852               0.0     1.02111607781               0.0    0.201612831785  -0.0339998918009   0.0339998918009   -0.201612831785
      BPM.27R2.B1       1481.947997   0.0379254747073               0.0     1.01951974797               0.0    0.168724576452  -0.0209942295632   0.0209942295632   -0.168724576452
      BPM.28R2.B1       1535.396513   0.0309990708576               0.0     1.01586945742               0.0    0.199035752079    0.123479184805   -0.123479184805   -0.199035752079
      BPM.29R2.B1       1588.845029   0.0389416757825               0.0     1.02005861399               0.0    0.273039987562  0.00537682136761 -0.00537682136761   -0.273039987562
      BPM.30R2.B1       1642.293545   0.0418840665862               0.0     1.02162372222               0.0    0.192280566428 -0.000798242812408 0.000798242812408   -0.192280566428
      BPM.31R2.B1        1695.74206   0.0339619851244               0.0     1.01742614032               0.0    0.143842445469  -0.0563826670349   0.0563826670349   -0.143842445469
      BPM.32R2.B1       1749.190576   0.0294690916957               0.0     1.01506841538               0.0   0.0593888068642   -0.214548533271    0.214548533271  -0.0593888068642
      BPM.33R2.B1       1802.639092   0.0364355568768               0.0      1.0187312235               0.0    0.252302331625   0.0232049523574  -0.0232049523574   -0.252302331625
      BPM.34R2.B1       1856.087608   0.0585917245833               0.0     1.03064949353               0.0    0.232351454578    0.114502830789   -0.114502830789   -0.232351454578
      BPM.33L3.B1       1909.536124   0.0430727665294               0.0     1.02225805842               0.0    0.161878297468   0.0395877700066  -0.0395877700066   -0.161878297468
      BPM.32L3.B1        1962.98464    0.036292869912               0.0     1.01865580378               0.0    0.208847272492    0.113499210222   -0.113499210222   -0.208847272492
      BPM.31L3.B1       2016.433156   0.0510585678596               0.0     1.02655044482               0.0    0.265777757448   0.0432889369484  -0.0432889369484   -0.265777757448
      BPM.30L3.B1       2069.881672   0.0423689627198               0.0     1.02188233889               0.0    0.205454515235   0.0628210110306  -0.0628210110306   -0.205454515235
      BPM.29L3.B1       2123.330188   0.0414400022927               0.0     1.02138705515               0.0    0.156716052957   0.0749241534648  -0.0749241534648   -0.156716052957
      BPM.27L3.B1        2230.22722   0.0293790917825               0.0     1.01502135365               0.0    0.240029762383   0.0308914010071  -0.0308914010071   -0.240029762383
      BPM.26L3.B1       2283.675735   0.0371765275032               0.0     1.01912314619               0.0    0.128375711009   0.0963310168798  -0.0963310168798   -0.128375711009
      BPM.25L3.B1       2337.124251   0.0490747892013               0.0     1.02547911342               0.0    0.177982251437   0.0858237937842  -0.0858237937842   -0.177982251437
      BPM.24L3.B1       2390.572767   0.0358063962398               0.0     1.01839879535               0.0    0.175708270425    0.153139895524   -0.153139895524   -0.175708270425
      BPM.23L3.B1       2444.021283   0.0352065388726               0.0     1.01808215297               0.0    0.242122617595   0.0520541472911  -0.0520541472911   -0.242122617595
      BPM.22L3.B1       2497.469799   0.0379960711518               0.0      1.0195571559               0.0     0.14114660869   0.0927511942771  -0.0927511942771    -0.14114660869
      BPM.21L3.B1       2550.918315   0.0491985039325               0.0     1.02554582701               0.0    0.189131967528     0.12440147833    -0.12440147833   -0.189131967528
      BPM.20L3.B1       2604.366831   0.0366607030035               0.0     1.01885026255               0.0    0.147978234885    0.154677850153   -0.154677850153   -0.147978234885
      BPM.19L3.B1       2657.815347   0.0411833847144               0.0     1.02125036404               0.0    0.224763648343    0.158712651569   -0.158712651569   -0.224763648343
