@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ Q1 %le 0.309858442458
@ MUX %le 78.3098584425
@ Q2 %le 0.31942165071
@ MUY %le 64.3194216507
@ FILES %s "/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds.linx"
*            NAME             NAME2                 S                S1             COUNT            PHASEX            STDPHX            PHXMDL            MUXMDL
$              %s                %s               %le               %le               %le               %le               %le               %le               %le
   "BPMYB.5L2.B1"    "BPMYB.5L2.B1"            28.288            28.288                 1               0.0                 0               0.0     0.03145312858
   "BPMYB.4L2.B1"    "BPMYB.5L2.B1"            48.858            28.288                 1   0.0376697339522                 0     0.02706494627     0.05851807485
   "BPMWI.4L2.B1"    "BPMYB.5L2.B1"           73.3255            28.288                 1   0.0873318376207                 0     0.07833455862      0.1097876872
   "BPMSX.4L2.B1"    "BPMYB.5L2.B1"          123.4825            28.288                 1      0.1559100916                 0     0.14739707782      0.1788502064
    "BPMS.2L2.B1"    "BPMYB.5L2.B1"           161.394            28.288                 1    0.213500729807                 0     0.19780063742       0.229253766
   "BPMSW.1L2.B1"    "BPMYB.5L2.B1"           171.328            28.288                 1    0.235379802666                 0     0.22122569012      0.2526788187
   "BPMSW.1R2.B1"    "BPMYB.5L2.B1"           214.518            28.288                 1    0.888949703384                 0     0.58318396802      0.6146370966
    "BPMS.2R2.B1"    "BPMYB.5L2.B1"           224.452            28.288                 1    0.916749508894                 0     0.60112984242       0.632582971
   "BPMSX.4R2.B1"    "BPMYB.5L2.B1"          262.3635            28.288                 1    0.957587835204                 0     0.64465863872      0.6761117673
   "BPMWB.4R2.B1"    "BPMYB.5L2.B1"          312.5965            28.288                 1   0.0343458544594                 0     0.72613048102      0.7575836096
   "BPMYB.4R2.B1"    "BPMYB.5L2.B1"           336.988            28.288                 1   0.0715028971984                 0     0.76095700402      0.7924101326
    "BPMR.5R2.B1"    "BPMYB.5L2.B1"           366.522            28.288                 1    0.176154134732                 0     0.85694402762      0.8883971562
     "BPM.6R2.B1"    "BPMYB.5L2.B1"           439.818            28.288                 1    0.313431136652                 0     0.00463427542       1.036087404
   "BPM_A.7R2.B1"    "BPMYB.5L2.B1"           452.693            28.288                 1    0.323070736981                 0     0.02113498142        1.05258811
     "BPM.8R2.B1"    "BPMYB.5L2.B1"       494.1300106            28.288                 1    0.411038458197                 0     0.10329386342       1.134746992
     "BPM.9R2.B1"    "BPMYB.5L2.B1"       533.1950212            28.288                 1    0.568062632928                 0     0.26135250842       1.292805637
    "BPM.10R2.B1"    "BPMYB.5L2.B1"       573.6580318            28.288                 1    0.733113544359                 0     0.42882819342       1.460281322
    "BPM.11R2.B1"    "BPMYB.5L2.B1"       625.4967424            28.288                 1    0.841288568239                 0     0.53523544442       1.566688573
    "BPM.12R2.B1"    "BPMYB.5L2.B1"       680.2202583            28.288                 1    0.984668685467                 0     0.67783829642       1.709291425
    "BPM.13R2.B1"    "BPMYB.5L2.B1"       733.6687742            28.288                 1   0.0980726698304                 0     0.79134562642       1.822798755
    "BPM.14R2.B1"    "BPMYB.5L2.B1"       787.1172901            28.288                 1    0.232829420663                 0     0.92903743742       1.960490566
    "BPM.15R2.B1"    "BPMYB.5L2.B1"        840.565806            28.288                 1    0.354735738192                 0     0.04125080942       2.072703938
    "BPM.16R2.B1"    "BPMYB.5L2.B1"       894.0143219            28.288                 1    0.482728695448                 0     0.17582936442       2.207282493
    "BPM.17R2.B1"    "BPMYB.5L2.B1"       947.4628378            28.288                 1    0.595863238061                 0     0.29163080742       2.323083936
    "BPM.18R2.B1"    "BPMYB.5L2.B1"       1000.911354            28.288                 1    0.738340785155                 0     0.42931788442       2.460771013
    "BPM.19R2.B1"    "BPMYB.5L2.B1"        1054.35987            28.288                 1    0.850307546014                 0     0.54152659242       2.572979721
    "BPM.20R2.B1"    "BPMYB.5L2.B1"       1107.808386            28.288                 1    0.986959384748                 0     0.67611233542       2.707565464
    "BPM.21R2.B1"    "BPMYB.5L2.B1"       1161.256901            28.288                 1    0.101355872408                 0     0.79191868042       2.823371809
    "BPM.22R2.B1"    "BPMYB.5L2.B1"       1214.705417            28.288                 1    0.239767474428                 0     0.92959831142        2.96105144
    "BPM.23R2.B1"    "BPMYB.5L2.B1"       1268.153933            28.288                 1    0.349075985835                 0     0.04470407942       3.076157208
    "BPM.24R2.B1"    "BPMYB.5L2.B1"       1321.602449            28.288                 1    0.495171276174                 0     0.18238364442       3.213836773
    "BPM.25R2.B1"    "BPMYB.5L2.B1"       1375.050965            28.288                 1    0.664603566388                 0     0.29749098142        3.32894411
    "BPM.26R2.B1"    "BPMYB.5L2.B1"       1428.499481            28.288                 1    0.741606000267                 0     0.43516973542       3.466622864
    "BPM.27R2.B1"    "BPMYB.5L2.B1"       1481.947997            28.288                 1    0.867198776861                 0     0.55027552842       3.581728657
    "BPM.28R2.B1"    "BPMYB.5L2.B1"       1535.396513            28.288                 1 -0.00661335048761                 0     0.68795515542       3.719408284
    "BPM.29R2.B1"    "BPMYB.5L2.B1"       1588.845029            28.288                 1    0.111679173418                 0     0.80306246542       3.834515594
