@ GetLLMVersion %s "V3.0.0 Dev"
@ Command %s "/afs/cern.ch/work/o/omc/anaconda/bin/python '/afs/cern.ch/work/e/efol/public/Beta-Beat.src/GetLLM/GetLLM.py' '--accel=LHCB1' '--model=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/twiss.dat' '--files=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Measurements/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned/Beam1@Turn@2017_09_11@19_02_33_250_notcleaned.sdds' '--output=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/LHCB1/Results/40cm_notcleaned' '--tbtana=SUSSIX' '--bpmu=mm' '--lhcphase=1' '--errordefs=/afs/cern.ch/work/e/efol/public/betabeatGui/temp/2017-12-20/models/LHCB1/Multiturn-model_40cm_2041/error_deff.txt'"
@ CWD %s "/home/efol/Workspaces/Accsoft-Eclipse-Pro/lhc-app-beta-beating"
@ Date %s "20. December 2017, 16:53:14"
@ f2h_factor %le 0.0963122728011
@ p_f2h_factor %le 587.256580587
@ FILES %s ""
*            NAME                 S            AMP_20         AMP_20std          PHASE_20       PHASE_20std             f3000          f3000std      phase_f_3000   phase_f_3000std             h3000         h3000_std      phase_h_3000  phase_h_3000_std
$              %s               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
      BPM.16L2.B1       26145.16812  0.00416886964746               0.0    0.138829822592    0.138829822592   0.0882668579281               0.0    0.246192421394               0.0    0.916465320162               0.0    0.989611834252               0.0
      BPM.30L6.B1       12067.25338  0.00396484218659               0.0    0.536196994902    0.536196994902   0.0839470147992               0.0    0.656646130401               0.0    0.871612852213               0.0    0.400065543259               0.0
      BPM.27R6.B1       14811.29264    0.145450270834               0.0    0.180330887548    0.180330887548     3.07959698361               0.0    0.183292054604               0.0     31.9751252259               0.0    0.926711467462               0.0
      BPM.12L3.B1       3031.954958  0.00360952982128               0.0    0.905512413881    0.905512413881   0.0764240388558               0.0    0.019836493907               0.0    0.793502599754               0.0    0.763255906765               0.0
      BPM.25R3.B1       4707.766181   0.0333476873504               0.0    0.029238002223    0.029238002223    0.706065631816               0.0    0.260294016118               0.0     7.33100373692               0.0  0.00371342897631               0.0
      BPMW.5L7.B1       16733.39732  0.00419402763452               0.0    0.533044087505    0.533044087505   0.0887995242521               0.0    0.728053313761               0.0    0.921995937481               0.0    0.471472726619               0.0
      BPM.25R7.B1       18037.25725  0.00343641754439               0.0    0.683479662713    0.683479662713   0.0727587583261               0.0    0.811417173765               0.0    0.755446385077               0.0    0.554836586624               0.0
      BPM.28L5.B1       8841.347136   0.0038141380071               0.0    0.309471029275    0.309471029275    0.080756177588               0.0    0.441027091263               0.0    0.838482731633               0.0    0.184446504121               0.0
       BPM.9L5.B1       9841.817628  0.00678199029734               0.0    0.254451589526    0.254451589526    0.143594073374               0.0     0.31654096095               0.0     1.49092186487               0.0   0.0599603738081               0.0
      BPM.11L4.B1        6418.11869  0.00295652109058               0.0    0.800259944954    0.800259944954    0.062597981979               0.0    0.940636637776               0.0    0.649948133903               0.0    0.684056050634               0.0
